"DATA No","DATE","TIME","³µËÙ","A1","A2","A3","A4","A1-----A4ID1"
0,2017/11/30,09:41:23,1.755000E+01,1,18,44,3528,-20
1,2017/11/30,09:41:23,1.755000E+01,2,5,35,3523,-20
2,2017/11/30,09:41:23,1.755000E+01,1,-5,23,3516,-20
3,2017/11/30,09:41:23,1.755000E+01,0,-6,10,3507,-20
4,2017/11/30,09:41:23,1.755000E+01,3,2,-6,3498,-20
5,2017/11/30,09:41:23,1.755000E+01,2,8,-20,3485,-20
6,2017/11/30,09:41:23,1.755000E+01,4,10,-25,3472,-20
7,2017/11/30,09:41:23,1.755000E+01,3,7,-19,3461,-20
8,2017/11/30,09:41:23,1.755000E+01,1,3,-10,3455,-20
9,2017/11/30,09:41:23,1.755000E+01,1,-1,-3,3455,-20
10,2017/11/30,09:41:23,1.755000E+01,1,-3,2,3460,-20
11,2017/11/30,09:41:23,1.755000E+01,2,-2,-3,3465,-20
12,2017/11/30,09:41:23,1.755000E+01,1,1,-10,3470,-20
13,2017/11/30,09:41:23,1.755000E+01,2,6,-20,3473,-20
14,2017/11/30,09:41:23,1.755000E+01,0,13,-26,3472,-20
15,2017/11/30,09:41:23,1.755000E+01,0,17,-25,3462,-20
16,2017/11/30,09:41:23,1.755000E+01,2,12,-18,3452,-20
17,2017/11/30,09:41:23,1.755000E+01,1,0,-4,3446,-20
18,2017/11/30,09:41:23,1.755000E+01,3,-12,5,3446,-20
19,2017/11/30,09:41:23,1.755000E+01,2,-20,13,3452,-20
20,2017/11/30,09:41:23,1.755000E+01,1,-18,15,3464,-20
21,2017/11/30,09:41:23,1.755000E+01,2,-11,14,3479,-20
22,2017/11/30,09:41:23,1.755000E+01,0,-2,14,3502,-20
23,2017/11/30,09:41:23,1.755000E+01,2,0,15,3527,-20
24,2017/11/30,09:41:23,1.755000E+01,1,1,17,3548,-20
25,2017/11/30,09:41:23,1.755000E+01,1,3,14,3558,-20
26,2017/11/30,09:41:23,1.755000E+01,2,2,7,3553,-20
27,2017/11/30,09:41:23,1.755000E+01,2,-4,0,3527,-20
28,2017/11/30,09:41:23,1.755000E+01,3,-13,-5,3494,-20
29,2017/11/30,09:41:23,1.755000E+01,2,-15,-2,3453,-20
30,2017/11/30,09:41:23,1.755000E+01,4,-10,1,3410,-20
31,2017/11/30,09:41:23,1.755000E+01,4,-1,6,3371,-20
