DATA No,DATE,TIME,³µËÙ,A1,A2,A3,A4,A1-----A4ID1
0,2017/11/30,9:23:00,4.62E+00,2,3,2,3730,0
1,2017/11/30,9:23:00,4.62E+00,2,3,0,3730,0
2,2017/11/30,9:23:00,4.62E+00,1,4,0,3729,0
3,2017/11/30,9:23:00,4.62E+00,2,4,0,3728,0
4,2017/11/30,9:23:00,4.62E+00,2,6,-2,3726,0
5,2017/11/30,9:23:00,4.62E+00,0,7,-1,3723,0
6,2017/11/30,9:23:00,4.62E+00,0,9,-3,3721,0
7,2017/11/30,9:23:00,4.62E+00,-1,8,-2,3719,0
8,2017/11/30,9:23:00,4.62E+00,0,8,-4,3717,0
9,2017/11/30,9:23:00,4.62E+00,0,8,-3,3715,0
10,2017/11/30,9:23:00,4.62E+00,0,6,-2,3715,0
11,2017/11/30,9:23:00,4.62E+00,1,5,-2,3715,0
12,2017/11/30,9:23:00,4.62E+00,1,3,-2,3716,0
13,2017/11/30,9:23:00,4.62E+00,4,2,-3,3716,0
14,2017/11/30,9:23:00,4.62E+00,3,2,0,3716,0
15,2017/11/30,9:23:00,4.62E+00,4,3,0,3715,0
16,2017/11/30,9:23:00,4.62E+00,1,4,2,3715,0
17,2017/11/30,9:23:00,4.62E+00,-1,5,3,3716,0
18,2017/11/30,9:23:00,4.62E+00,0,6,2,3716,0
19,2017/11/30,9:23:00,4.62E+00,0,5,4,3717,0
20,2017/11/30,9:23:00,4.62E+00,-1,6,1,3716,0
21,2017/11/30,9:23:00,4.62E+00,-2,6,2,3714,0
22,2017/11/30,9:23:00,4.62E+00,1,5,-1,3712,0
23,2017/11/30,9:23:00,4.62E+00,1,4,-1,3708,0
24,2017/11/30,9:23:00,4.62E+00,2,4,-2,3704,0
25,2017/11/30,9:23:00,4.62E+00,1,4,-2,3701,0
26,2017/11/30,9:23:00,4.62E+00,1,5,-2,3699,0
27,2017/11/30,9:23:00,4.62E+00,2,7,-2,3697,0
28,2017/11/30,9:23:00,4.62E+00,-1,7,-1,3699,0
29,2017/11/30,9:23:00,4.62E+00,-1,7,-2,3698,0
30,2017/11/30,9:23:00,4.62E+00,-1,7,-1,3698,0
31,2017/11/30,9:23:00,4.62E+00,0,7,-1,3698,0
32,2017/11/30,9:23:00,4.62E+00,2,6,-2,3696,0
33,2017/11/30,9:23:00,4.62E+00,1,6,-1,3696,0
34,2017/11/30,9:23:00,4.62E+00,3,5,-1,3694,0
35,2017/11/30,9:23:00,4.62E+00,1,4,0,3695,0
36,2017/11/30,9:23:00,4.62E+00,2,5,-2,3696,0
37,2017/11/30,9:23:00,4.62E+00,0,4,0,3696,0
38,2017/11/30,9:23:00,4.62E+00,0,6,-1,3696,0
39,2017/11/30,9:23:00,4.62E+00,1,6,-2,3696,0
40,2017/11/30,9:23:00,4.62E+00,0,6,-1,3695,0
41,2017/11/30,9:23:00,4.62E+00,1,6,-2,3696,0
42,2017/11/30,9:23:00,4.62E+00,0,5,-1,3695,0
43,2017/11/30,9:23:00,4.62E+00,1,5,-2,3695,0
44,2017/11/30,9:23:00,4.62E+00,1,4,0,3696,0
45,2017/11/30,9:23:00,4.62E+00,1,4,-1,3695,0
46,2017/11/30,9:23:00,4.62E+00,2,4,-1,3693,0
47,2017/11/30,9:23:00,4.62E+00,0,5,0,3693,0
48,2017/11/30,9:23:00,4.62E+00,1,6,-1,3693,0
49,2017/11/30,9:23:00,4.62E+00,-1,7,1,3693,0
50,2017/11/30,9:23:00,4.62E+00,0,7,-1,3694,0
51,2017/11/30,9:23:00,4.62E+00,-1,8,0,3694,0
52,2017/11/30,9:23:00,4.62E+00,-1,8,-1,3694,0
53,2017/11/30,9:23:00,4.62E+00,-1,7,-1,3694,0
54,2017/11/30,9:23:00,4.62E+00,0,6,-1,3692,0
55,2017/11/30,9:23:00,4.62E+00,2,6,-2,3693,0
56,2017/11/30,9:23:00,4.62E+00,0,5,-2,3691,0
57,2017/11/30,9:23:00,4.62E+00,2,5,-3,3691,0
58,2017/11/30,9:23:00,4.62E+00,1,5,-2,3691,0
59,2017/11/30,9:23:00,4.62E+00,0,6,-3,3691,0
60,2017/11/30,9:23:00,4.62E+00,-1,6,-3,3692,0
61,2017/11/30,9:23:00,4.62E+00,-3,5,-2,3692,0
62,2017/11/30,9:23:00,4.62E+00,-1,5,-2,3690,0
63,2017/11/30,9:23:00,4.62E+00,-1,5,0,3689,0
64,2017/11/30,9:23:00,4.62E+00,1,4,-1,3688,0
65,2017/11/30,9:23:00,4.62E+00,1,4,1,3686,0
66,2017/11/30,9:23:00,4.62E+00,2,4,1,3684,0
67,2017/11/30,9:23:00,4.62E+00,3,3,1,3681,0
68,2017/11/30,9:23:00,4.62E+00,1,3,1,3678,0
69,2017/11/30,9:23:00,4.62E+00,2,5,0,3675,0
70,2017/11/30,9:23:00,4.62E+00,0,5,0,3673,0
71,2017/11/30,9:23:00,4.62E+00,1,6,-1,3672,0
72,2017/11/30,9:23:00,4.62E+00,-2,7,0,3670,0
73,2017/11/30,9:23:00,4.62E+00,-3,8,-1,3670,0
74,2017/11/30,9:23:00,4.62E+00,-2,8,0,3669,0
75,2017/11/30,9:23:00,4.62E+00,-2,7,0,3668,0
76,2017/11/30,9:23:00,4.62E+00,2,6,0,3668,0
77,2017/11/30,9:23:00,4.62E+00,1,5,1,3666,0
78,2017/11/30,9:23:00,4.62E+00,2,5,-1,3666,0
79,2017/11/30,9:23:00,4.62E+00,1,4,1,3665,0
80,2017/11/30,9:23:00,4.62E+00,1,4,0,3665,0
81,2017/11/30,9:23:00,4.62E+00,-1,5,0,3663,0
82,2017/11/30,9:23:00,4.62E+00,0,6,0,3662,0
83,2017/11/30,9:23:00,4.62E+00,1,6,-1,3661,0
84,2017/11/30,9:23:00,4.62E+00,-1,6,0,3660,0
85,2017/11/30,9:23:00,4.62E+00,0,5,-1,3659,0
86,2017/11/30,9:23:00,4.62E+00,0,6,0,3658,0
87,2017/11/30,9:23:00,4.62E+00,1,5,-1,3656,0
88,2017/11/30,9:23:00,4.62E+00,0,4,0,3655,0
89,2017/11/30,9:23:00,4.62E+00,0,5,-1,3653,0
90,2017/11/30,9:23:00,4.62E+00,1,5,-1,3651,0
91,2017/11/30,9:23:00,4.62E+00,-1,6,0,3649,0
92,2017/11/30,9:23:00,4.62E+00,1,7,-1,3648,0
93,2017/11/30,9:23:00,4.62E+00,1,7,1,3650,0
94,2017/11/30,9:23:00,4.62E+00,3,7,0,3650,0
95,2017/11/30,9:23:00,4.62E+00,3,7,1,3651,0
96,2017/11/30,9:23:00,4.62E+00,0,6,1,3650,0
97,2017/11/30,9:23:00,4.62E+00,1,5,0,3649,0
98,2017/11/30,9:23:00,4.62E+00,0,4,1,3646,0
99,2017/11/30,9:23:00,4.62E+00,3,5,-1,3645,0
100,2017/11/30,9:23:00,4.62E+00,1,5,1,3642,0
101,2017/11/30,9:23:00,4.62E+00,2,5,-1,3641,0
102,2017/11/30,9:23:00,4.62E+00,1,4,0,3639,0
103,2017/11/30,9:23:00,4.62E+00,0,5,-1,3636,0
104,2017/11/30,9:23:00,4.62E+00,1,6,-1,3632,0
105,2017/11/30,9:23:00,4.62E+00,-1,6,0,3628,0
106,2017/11/30,9:23:00,4.62E+00,0,7,-2,3625,0
107,2017/11/30,9:23:00,4.62E+00,-1,6,0,3623,0
108,2017/11/30,9:23:00,4.62E+00,1,5,-1,3621,0
109,2017/11/30,9:23:00,4.62E+00,1,5,0,3621,0
110,2017/11/30,9:23:00,4.62E+00,1,4,0,3624,0
111,2017/11/30,9:23:00,4.62E+00,2,4,-1,3626,0
112,2017/11/30,9:23:00,4.62E+00,0,5,0,3626,0
113,2017/11/30,9:23:00,4.62E+00,2,5,-1,3625,0
114,2017/11/30,9:23:00,4.62E+00,-1,6,0,3623,0
115,2017/11/30,9:23:00,4.62E+00,2,6,-1,3622,0
116,2017/11/30,9:23:00,4.62E+00,0,6,0,3620,0
117,2017/11/30,9:23:00,4.62E+00,0,6,0,3619,0
118,2017/11/30,9:23:00,4.62E+00,1,6,0,3618,0
119,2017/11/30,9:23:00,4.62E+00,2,5,0,3617,0
120,2017/11/30,9:23:00,4.62E+00,4,4,-1,3616,0
121,2017/11/30,9:23:00,4.62E+00,1,3,0,3613,0
122,2017/11/30,9:23:00,4.62E+00,2,4,-1,3611,0
123,2017/11/30,9:23:00,4.62E+00,1,4,0,3610,0
124,2017/11/30,9:23:00,4.62E+00,0,5,-1,3607,0
125,2017/11/30,9:23:00,4.62E+00,-1,7,0,3605,0
126,2017/11/30,9:23:00,4.62E+00,-2,7,0,3604,0
127,2017/11/30,9:23:00,4.62E+00,0,7,-1,3603,0
128,2017/11/30,9:23:00,4.62E+00,-1,7,1,3601,0
129,2017/11/30,9:23:00,4.62E+00,0,6,-1,3601,0
130,2017/11/30,9:23:00,4.62E+00,0,6,0,3602,0
131,2017/11/30,9:23:00,4.62E+00,2,5,-1,3603,0
132,2017/11/30,9:23:00,4.62E+00,3,4,-1,3603,0
133,2017/11/30,9:23:00,4.62E+00,3,4,0,3604,0
134,2017/11/30,9:23:00,4.62E+00,4,5,-1,3603,0
135,2017/11/30,9:23:00,4.62E+00,2,6,0,3603,0
136,2017/11/30,9:23:00,4.62E+00,1,6,-2,3601,0
137,2017/11/30,9:23:00,4.62E+00,-1,7,0,3599,0
138,2017/11/30,9:23:00,4.62E+00,0,6,-1,3596,0
139,2017/11/30,9:23:00,4.62E+00,1,6,0,3593,0
140,2017/11/30,9:23:00,4.62E+00,1,5,0,3588,0
141,2017/11/30,9:23:00,4.62E+00,3,4,-1,3587,0
142,2017/11/30,9:23:00,4.62E+00,1,4,0,3585,0
143,2017/11/30,9:23:00,4.62E+00,4,3,-1,3585,0
144,2017/11/30,9:23:00,4.62E+00,2,3,1,3587,0
145,2017/11/30,9:23:00,4.62E+00,1,4,0,3589,0
146,2017/11/30,9:23:00,4.62E+00,2,5,0,3589,0
147,2017/11/30,9:23:00,4.62E+00,4,5,1,3589,0
148,2017/11/30,9:23:00,4.62E+00,6,6,0,3587,0
149,2017/11/30,9:23:00,4.62E+00,5,6,1,3587,0
150,2017/11/30,9:23:00,4.62E+00,5,6,-1,3587,0
151,2017/11/30,9:23:00,4.62E+00,4,7,0,3588,0
152,2017/11/30,9:23:00,4.62E+00,13,7,-1,3589,0
153,2017/11/30,9:23:00,4.62E+00,35,6,-1,3589,0
154,2017/11/30,9:23:00,4.62E+00,61,7,-1,3588,0
155,2017/11/30,9:23:00,4.62E+00,97,6,-1,3587,0
156,2017/11/30,9:23:00,4.62E+00,135,8,0,3585,0
157,2017/11/30,9:23:00,4.62E+00,178,8,-1,3584,0
158,2017/11/30,9:23:00,4.62E+00,219,7,-1,3583,0
159,2017/11/30,9:23:00,4.62E+00,275,5,0,3583,0
160,2017/11/30,9:23:00,4.62E+00,321,4,-1,3584,0
161,2017/11/30,9:23:00,4.62E+00,367,2,0,3584,0
162,2017/11/30,9:23:00,4.62E+00,408,3,0,3583,0
163,2017/11/30,9:23:00,4.62E+00,453,3,-1,3581,0
164,2017/11/30,9:23:00,4.62E+00,504,4,0,3578,0
165,2017/11/30,9:23:00,4.62E+00,573,3,0,3576,0
166,2017/11/30,9:23:00,4.62E+00,627,4,0,3576,0
167,2017/11/30,9:23:00,4.62E+00,683,4,0,3576,0
168,2017/11/30,9:23:00,4.62E+00,737,7,-1,3576,0
169,2017/11/30,9:23:00,4.62E+00,786,7,0,3577,0
170,2017/11/30,9:23:00,4.62E+00,830,6,-1,3576,0
171,2017/11/30,9:23:00,4.62E+00,872,7,-1,3575,0
172,2017/11/30,9:23:00,4.62E+00,894,8,0,3574,0
173,2017/11/30,9:23:00,4.62E+00,913,9,0,3574,0
174,2017/11/30,9:23:00,4.62E+00,932,7,-1,3573,0
175,2017/11/30,9:23:00,4.62E+00,946,6,0,3573,0
176,2017/11/30,9:23:00,4.62E+00,961,6,1,3572,0
177,2017/11/30,9:23:00,4.62E+00,978,5,0,3571,0
178,2017/11/30,9:23:00,4.62E+00,995,5,-1,3567,0
179,2017/11/30,9:23:00,4.62E+00,1016,3,0,3565,0
180,2017/11/30,9:23:00,4.62E+00,1038,3,0,3563,0
181,2017/11/30,9:23:00,4.62E+00,1062,4,-1,3562,0
182,2017/11/30,9:23:00,4.62E+00,1084,3,-1,3563,0
183,2017/11/30,9:23:00,4.62E+00,1103,3,0,3563,0
184,2017/11/30,9:23:00,4.62E+00,1120,5,0,3562,0
185,2017/11/30,9:23:00,4.62E+00,1143,5,-1,3561,0
186,2017/11/30,9:23:00,4.62E+00,1172,5,-2,3559,0
187,2017/11/30,9:23:00,4.62E+00,1204,7,0,3557,0
188,2017/11/30,9:23:00,4.62E+00,1238,6,0,3554,0
189,2017/11/30,9:23:00,4.62E+00,1286,9,-2,3552,0
190,2017/11/30,9:23:00,4.62E+00,1322,18,-2,3550,0
191,2017/11/30,9:23:00,4.62E+00,1350,41,0,3549,0
192,2017/11/30,9:23:00,4.62E+00,1379,72,1,3548,0
193,2017/11/30,9:23:00,4.62E+00,1407,102,0,3548,0
194,2017/11/30,9:23:00,4.62E+00,1435,120,-1,3549,0
195,2017/11/30,9:23:00,4.62E+00,1455,128,1,3549,0
196,2017/11/30,9:23:00,4.62E+00,1472,133,2,3549,0
197,2017/11/30,9:23:00,4.62E+00,1492,144,-1,3548,0
198,2017/11/30,9:23:00,4.62E+00,1520,166,-2,3546,1520
199,2017/11/30,9:23:00,4.62E+00,1549,196,-1,3544,1549
200,2017/11/30,9:23:00,4.62E+00,1577,227,1,3540,1577
201,2017/11/30,9:23:00,4.62E+00,1617,260,1,3536,1617
202,2017/11/30,9:23:00,4.62E+00,1650,284,-2,3533,1650
203,2017/11/30,9:23:00,4.62E+00,1679,313,-2,3531,1679
204,2017/11/30,9:23:00,4.62E+00,1703,350,1,3529,1703
205,2017/11/30,9:23:00,4.62E+00,1728,392,3,3529,1728
206,2017/11/30,9:23:00,4.62E+00,1759,434,0,3529,1759
207,2017/11/30,9:23:00,4.62E+00,1800,482,-2,3530,1800
208,2017/11/30,9:23:00,4.62E+00,1836,520,-1,3530,1836
209,2017/11/30,9:23:00,4.62E+00,1871,558,2,3530,1871
210,2017/11/30,9:23:00,4.62E+00,1911,600,2,3530,1911
211,2017/11/30,9:23:00,4.62E+00,1950,642,-2,3530,1950
212,2017/11/30,9:23:00,4.62E+00,1981,684,-5,3528,1981
213,2017/11/30,9:23:00,4.62E+00,2011,742,-3,3528,2011
214,2017/11/30,9:23:00,4.62E+00,2030,789,-1,3528,2030
215,2017/11/30,9:23:00,4.62E+00,2053,838,-2,3528,2053
216,2017/11/30,9:23:00,4.62E+00,2080,886,-5,3529,2080
217,2017/11/30,9:23:00,4.62E+00,2109,930,-5,3530,2109
218,2017/11/30,9:23:00,4.62E+00,2142,974,-1,3532,2142
219,2017/11/30,9:23:00,4.62E+00,2177,1031,3,3533,2177
220,2017/11/30,9:23:00,4.62E+00,2210,1073,3,3533,2210
221,2017/11/30,9:23:00,4.62E+00,2240,1108,0,3533,2240
222,2017/11/30,9:23:00,4.62E+00,2265,1139,-1,3533,2265
223,2017/11/30,9:23:00,4.62E+00,2281,1167,2,3532,2281
224,2017/11/30,9:23:00,4.62E+00,2290,1195,6,3532,2290
225,2017/11/30,9:23:00,4.62E+00,2304,1226,3,3531,2304
226,2017/11/30,9:23:00,4.62E+00,2314,1247,-1,3531,2314
227,2017/11/30,9:23:00,4.62E+00,2322,1261,-3,3530,2322
228,2017/11/30,9:23:00,4.62E+00,2329,1273,0,3529,2329
229,2017/11/30,9:23:00,4.62E+00,2334,1282,3,3529,2334
230,2017/11/30,9:23:00,4.62E+00,2345,1290,2,3528,2345
231,2017/11/30,9:23:00,4.62E+00,2358,1297,-2,3528,2358
232,2017/11/30,9:23:00,4.62E+00,2365,1300,-3,3528,2365
233,2017/11/30,9:23:00,4.62E+00,2369,1299,0,3527,2369
234,2017/11/30,9:23:00,4.62E+00,2367,1294,3,3526,2367
235,2017/11/30,9:23:00,4.62E+00,2364,1285,3,3524,2364
236,2017/11/30,9:23:00,4.62E+00,2363,1271,-1,3523,2363
237,2017/11/30,9:23:00,4.62E+00,2361,1252,-4,3521,2361
238,2017/11/30,9:23:00,4.62E+00,2354,1236,-2,3519,2354
239,2017/11/30,9:23:00,4.62E+00,2345,1218,2,3518,2345
240,2017/11/30,9:23:00,4.62E+00,2338,1199,3,3517,2338
241,2017/11/30,9:23:00,4.62E+00,2336,1178,-1,3517,2336
242,2017/11/30,9:23:00,4.62E+00,2334,1156,-3,3516,2334
243,2017/11/30,9:23:00,4.62E+00,2320,1130,-2,3515,2320
244,2017/11/30,9:23:00,4.62E+00,2308,1109,3,3515,2308
245,2017/11/30,9:23:00,4.62E+00,2296,1092,4,3514,2296
246,2017/11/30,9:23:00,4.62E+00,2288,1075,0,3513,2288
247,2017/11/30,9:23:00,4.62E+00,2284,1058,-4,3513,2284
248,2017/11/30,9:23:00,4.62E+00,2279,1042,-1,3512,2279
249,2017/11/30,9:23:00,4.62E+00,2270,1025,3,3513,2270
250,2017/11/30,9:23:00,4.62E+00,2268,1015,4,3514,2268
251,2017/11/30,9:23:00,4.62E+00,2270,1008,0,3515,2270
252,2017/11/30,9:23:00,4.62E+00,2279,1003,-3,3516,2279
253,2017/11/30,9:23:00,4.62E+00,2285,1000,-2,3517,2285
254,2017/11/30,9:23:00,4.62E+00,2284,999,1,3515,2284
255,2017/11/30,9:23:00,4.62E+00,2282,999,2,3513,2282
256,2017/11/30,9:23:00,4.62E+00,2282,1000,-3,3512,2282
257,2017/11/30,9:23:00,4.62E+00,2286,1006,-7,3511,2286
258,2017/11/30,9:23:00,4.62E+00,2286,1016,-6,3510,2286
259,2017/11/30,9:23:00,4.62E+00,2281,1027,-1,3510,2281
260,2017/11/30,9:23:00,4.62E+00,2283,1037,1,3509,2283
261,2017/11/30,9:23:00,4.62E+00,2293,1050,-1,3507,2293
262,2017/11/30,9:23:00,4.62E+00,2309,1062,-4,3505,2309
263,2017/11/30,9:23:00,4.62E+00,2321,1076,-3,3504,2321
264,2017/11/30,9:23:00,4.62E+00,2328,1090,2,3504,2328
265,2017/11/30,9:23:00,4.62E+00,2335,1105,5,3504,2335
266,2017/11/30,9:23:00,4.62E+00,2343,1123,2,3506,2343
267,2017/11/30,9:23:00,4.62E+00,2353,1143,-2,3505,2353
268,2017/11/30,9:23:00,4.62E+00,2360,1157,-2,3504,2360
269,2017/11/30,9:23:00,4.62E+00,2360,1175,1,3502,2360
270,2017/11/30,9:23:00,4.62E+00,2360,1191,4,3500,2360
271,2017/11/30,9:23:00,4.62E+00,2368,1207,2,3499,2368
272,2017/11/30,9:23:00,4.62E+00,2377,1221,-2,3497,2377
273,2017/11/30,9:23:00,4.62E+00,2393,1235,-3,3496,2393
274,2017/11/30,9:23:00,4.62E+00,2397,1244,0,3495,2397
275,2017/11/30,9:23:00,4.62E+00,2397,1251,3,3494,2397
276,2017/11/30,9:23:00,4.62E+00,2397,1258,1,3492,2397
277,2017/11/30,9:23:00,4.62E+00,2400,1264,-2,3491,2400
278,2017/11/30,9:23:00,4.62E+00,2403,1268,-5,3489,2403
279,2017/11/30,9:23:00,4.62E+00,2402,1270,-1,3489,2402
280,2017/11/30,9:23:00,4.62E+00,2396,1270,4,3489,2396
281,2017/11/30,9:23:00,4.62E+00,2396,1270,3,3489,2396
282,2017/11/30,9:23:00,4.62E+00,2400,1268,-1,3488,2400
283,2017/11/30,9:23:00,4.62E+00,2402,1265,-3,3485,2402
284,2017/11/30,9:23:00,4.62E+00,2403,1262,-1,3484,2403
285,2017/11/30,9:23:00,4.62E+00,2397,1255,2,3481,2397
286,2017/11/30,9:23:00,4.62E+00,2393,1249,2,3478,2393
287,2017/11/30,9:23:00,4.62E+00,2392,1241,-2,3478,2392
288,2017/11/30,9:23:00,4.62E+00,2392,1232,-5,3477,2392
289,2017/11/30,9:23:00,4.62E+00,2390,1222,-3,3477,2390
290,2017/11/30,9:23:00,4.62E+00,2385,1213,1,3477,2385
291,2017/11/30,9:23:00,4.62E+00,2379,1201,2,3477,2379
292,2017/11/30,9:23:00,4.62E+00,2381,1190,-1,3477,2381
293,2017/11/30,9:23:00,4.62E+00,2385,1179,-3,3476,2385
294,2017/11/30,9:23:00,4.62E+00,2384,1170,-2,3474,2384
295,2017/11/30,9:23:00,4.62E+00,2379,1162,2,3472,2379
296,2017/11/30,9:23:00,4.62E+00,2369,1154,3,3469,2369
297,2017/11/30,9:23:00,4.62E+00,2367,1147,1,3465,2367
298,2017/11/30,9:23:00,4.62E+00,2367,1143,-3,3461,2367
299,2017/11/30,9:23:00,4.62E+00,2365,1140,-2,3457,2365
300,2017/11/30,9:23:00,4.62E+00,2361,1137,2,3452,2361
301,2017/11/30,9:23:00,4.62E+00,2359,1136,4,3447,2359
302,2017/11/30,9:23:00,4.62E+00,2360,1137,1,3443,2360
303,2017/11/30,9:23:00,4.62E+00,2368,1139,-3,3441,2368
304,2017/11/30,9:23:00,4.62E+00,2372,1142,-3,3441,2372
305,2017/11/30,9:23:00,4.62E+00,2373,1145,1,3441,2373
306,2017/11/30,9:23:00,4.62E+00,2375,1151,3,3440,2375
307,2017/11/30,9:23:00,4.62E+00,2378,1156,1,3439,2378
308,2017/11/30,9:23:00,4.62E+00,2384,1163,-3,3438,2384
309,2017/11/30,9:23:00,4.62E+00,2386,1172,-4,3437,2386
310,2017/11/30,9:23:00,4.62E+00,2384,1181,0,3436,2384
311,2017/11/30,9:23:00,4.62E+00,2384,1188,3,3436,2384
312,2017/11/30,9:23:00,4.62E+00,2385,1195,2,3437,2385
313,2017/11/30,9:23:00,4.62E+00,2392,1203,-2,3438,2392
314,2017/11/30,9:23:00,4.62E+00,2396,1211,-3,3438,2396
315,2017/11/30,9:23:00,4.62E+00,2399,1220,-1,3438,2399
316,2017/11/30,9:23:00,4.62E+00,2398,1226,3,3438,2398
317,2017/11/30,9:23:00,4.62E+00,2401,1231,2,3438,2401
318,2017/11/30,9:23:00,4.62E+00,2404,1236,-2,3438,2404
319,2017/11/30,9:23:00,4.62E+00,2405,1240,-4,3438,2405
320,2017/11/30,9:23:00,4.62E+00,2402,1245,-2,3438,2402
321,2017/11/30,9:23:00,4.62E+00,2396,1249,2,3438,2396
322,2017/11/30,9:23:00,4.62E+00,2395,1250,3,3438,2395
323,2017/11/30,9:23:00,4.62E+00,2396,1250,-1,3438,2396
324,2017/11/30,9:23:00,4.62E+00,2399,1250,-4,3438,2399
325,2017/11/30,9:23:00,4.62E+00,2401,1249,-2,3438,2401
326,2017/11/30,9:23:00,4.62E+00,2399,1249,2,3439,2399
327,2017/11/30,9:23:00,4.62E+00,2400,1246,3,3439,2400
328,2017/11/30,9:23:00,4.62E+00,2402,1242,-1,3440,2402
329,2017/11/30,9:23:00,4.62E+00,2404,1239,-4,3441,2404
330,2017/11/30,9:23:00,4.62E+00,2401,1234,-2,3439,2401
331,2017/11/30,9:23:00,4.62E+00,2392,1229,2,3438,2392
332,2017/11/30,9:23:00,4.62E+00,2384,1224,5,3438,2384
333,2017/11/30,9:23:00,4.62E+00,2383,1218,1,3438,2383
334,2017/11/30,9:23:00,4.62E+00,2381,1212,-4,3438,2381
335,2017/11/30,9:23:00,4.62E+00,2379,1206,-4,3438,2379
336,2017/11/30,9:23:00,4.62E+00,2374,1200,-1,3438,2374
337,2017/11/30,9:23:00,4.62E+00,2372,1194,1,3438,2372
338,2017/11/30,9:23:00,4.62E+00,2374,1189,-1,3438,2374
339,2017/11/30,9:23:00,4.62E+00,2379,1185,-4,3438,2379
340,2017/11/30,9:23:00,4.62E+00,2379,1181,-4,3438,2379
341,2017/11/30,9:23:00,4.62E+00,2375,1178,0,3438,2375
342,2017/11/30,9:23:00,4.62E+00,2366,1177,4,3438,2366
343,2017/11/30,9:23:00,4.62E+00,2363,1175,2,3437,2363
344,2017/11/30,9:23:00,4.62E+00,2364,1173,-2,3436,2364
345,2017/11/30,9:23:00,4.62E+00,2361,1173,-5,3433,2361
346,2017/11/30,9:23:00,4.62E+00,2358,1172,0,3430,2358
347,2017/11/30,9:23:00,4.62E+00,2354,1172,3,3426,2354
348,2017/11/30,9:23:00,4.62E+00,2356,1172,1,3422,2356
349,2017/11/30,9:23:00,4.62E+00,2360,1173,-2,3419,2360
350,2017/11/30,9:23:00,4.62E+00,2363,1175,-4,3416,2363
351,2017/11/30,9:23:00,4.62E+00,2362,1176,-1,3414,2362
352,2017/11/30,9:23:00,4.62E+00,2358,1178,3,3412,2358
353,2017/11/30,9:23:00,4.62E+00,2352,1180,3,3410,2352
354,2017/11/30,9:23:00,4.62E+00,2354,1182,-2,3409,2354
355,2017/11/30,9:23:00,4.62E+00,2355,1184,-4,3409,2355
356,2017/11/30,9:23:00,4.62E+00,2355,1185,-3,3408,2355
357,2017/11/30,9:23:00,4.62E+00,2350,1186,1,3408,2350
358,2017/11/30,9:23:00,4.62E+00,2349,1187,2,3408,2349
359,2017/11/30,9:23:00,4.62E+00,2352,1187,-2,3408,2352
360,2017/11/30,9:23:00,4.62E+00,2357,1186,-4,3408,2357
361,2017/11/30,9:23:00,4.62E+00,2357,1185,-2,3408,2357
362,2017/11/30,9:23:00,4.62E+00,2354,1184,2,3407,2354
363,2017/11/30,9:23:00,4.62E+00,2349,1182,4,3406,2349
364,2017/11/30,9:23:00,4.62E+00,2349,1181,-2,3405,2349
365,2017/11/30,9:23:00,4.62E+00,2350,1180,-4,3406,2350
366,2017/11/30,9:23:00,4.62E+00,2347,1179,-3,3406,2347
367,2017/11/30,9:23:00,4.62E+00,2346,1177,0,3407,2346
368,2017/11/30,9:23:00,4.62E+00,2346,1177,2,3406,2346
369,2017/11/30,9:23:00,4.62E+00,2353,1177,-1,3405,2353
370,2017/11/30,9:23:00,4.62E+00,2360,1177,-4,3405,2360
371,2017/11/30,9:23:00,4.62E+00,2362,1176,-3,3404,2362
372,2017/11/30,9:23:00,4.62E+00,2360,1176,1,3403,2360
373,2017/11/30,9:23:00,4.62E+00,2354,1176,4,3402,2354
374,2017/11/30,9:23:00,4.62E+00,2353,1176,1,3400,2353
375,2017/11/30,9:23:00,4.62E+00,2354,1177,-3,3400,2354
376,2017/11/30,9:23:00,4.62E+00,2355,1177,-3,3400,2355
377,2017/11/30,9:23:00,4.62E+00,2350,1177,2,3399,2350
378,2017/11/30,9:23:00,4.62E+00,2349,1177,4,3397,2349
379,2017/11/30,9:23:00,4.62E+00,2352,1177,2,3394,2352
380,2017/11/30,9:23:00,4.62E+00,2357,1177,-2,3387,2357
381,2017/11/30,9:23:00,4.62E+00,2363,1177,-4,3383,2363
382,2017/11/30,9:23:00,4.62E+00,2359,1178,0,3377,2359
383,2017/11/30,9:23:00,4.62E+00,2356,1178,1,3372,2356
384,2017/11/30,9:23:00,4.62E+00,2355,1179,-1,3368,2355
385,2017/11/30,9:23:00,4.62E+00,2355,1179,-5,3364,2355
386,2017/11/30,9:23:00,4.62E+00,2354,1180,-7,3361,2354
