"DATA No","DATE","TIME","³µËÙ","A1","A2","A3","A4","A1-----A4ID1"
0,2017/11/30,09:44:05,1.882759E+01,3,-14,-8,3143,6
1,2017/11/30,09:44:05,1.882759E+01,3,-7,-22,3138,6
2,2017/11/30,09:44:05,1.882759E+01,6,0,-27,3134,6
3,2017/11/30,09:44:05,1.882759E+01,4,3,-10,3136,6
4,2017/11/30,09:44:05,1.882759E+01,4,-9,14,3140,6
5,2017/11/30,09:44:05,1.882759E+01,2,-20,39,3144,6
6,2017/11/30,09:44:05,1.882759E+01,4,-17,51,3148,6
7,2017/11/30,09:44:05,1.882759E+01,3,0,58,3148,6
8,2017/11/30,09:44:05,1.882759E+01,0,16,61,3144,6
9,2017/11/30,09:44:05,1.882759E+01,-3,28,56,3134,6
10,2017/11/30,09:44:05,1.882759E+01,-4,30,44,3123,6
11,2017/11/30,09:44:05,1.882759E+01,-1,21,23,3111,6
12,2017/11/30,09:44:05,1.882759E+01,-1,4,4,3097,6
13,2017/11/30,09:44:05,1.882759E+01,3,-9,-16,3082,6
14,2017/11/30,09:44:05,1.882759E+01,3,-9,-30,3075,6
15,2017/11/30,09:44:05,1.882759E+01,5,3,-34,3070,6
16,2017/11/30,09:44:05,1.882759E+01,5,10,-24,3064,6
17,2017/11/30,09:44:05,1.882759E+01,3,11,-4,3056,6
18,2017/11/30,09:44:05,1.882759E+01,5,4,10,3042,6
19,2017/11/30,09:44:05,1.882759E+01,2,-5,19,3023,6
20,2017/11/30,09:44:05,1.882759E+01,3,-11,19,3004,6
21,2017/11/30,09:44:05,1.882759E+01,3,-13,12,2991,6
22,2017/11/30,09:44:05,1.882759E+01,2,-11,-2,2980,6
23,2017/11/30,09:44:05,1.882759E+01,2,-5,-20,2979,6
24,2017/11/30,09:44:05,1.882759E+01,-2,8,-33,2985,6
25,2017/11/30,09:44:05,1.882759E+01,-1,30,-40,2998,6
26,2017/11/30,09:44:05,1.882759E+01,-2,49,-35,3023,6
27,2017/11/30,09:44:05,1.882759E+01,-2,50,-20,3051,6
28,2017/11/30,09:44:05,1.882759E+01,-3,33,-3,3086,6
29,2017/11/30,09:44:05,1.882759E+01,1,11,15,3116,6
30,2017/11/30,09:44:05,1.882759E+01,23,-6,27,3135,6
31,2017/11/30,09:44:05,1.882759E+01,64,-15,38,3139,6
32,2017/11/30,09:44:05,1.882759E+01,122,-17,41,3126,6
33,2017/11/30,09:44:05,1.882759E+01,159,-10,42,3109,6
34,2017/11/30,09:44:05,1.882759E+01,211,2,41,3092,6
35,2017/11/30,09:44:05,1.882759E+01,300,15,37,3071,6
36,2017/11/30,09:44:05,1.882759E+01,436,22,31,3047,6
37,2017/11/30,09:44:05,1.882759E+01,594,22,19,3016,6
38,2017/11/30,09:44:05,1.882759E+01,791,14,1,2988,6
39,2017/11/30,09:44:05,1.882759E+01,930,8,-20,2961,6
40,2017/11/30,09:44:05,1.882759E+01,1057,1,-26,2935,6
41,2017/11/30,09:44:05,1.882759E+01,1192,-4,-23,2917,6
42,2017/11/30,09:44:05,1.882759E+01,1360,0,-19,2907,6
43,2017/11/30,09:44:05,1.882759E+01,1547,42,-21,2905,1547
44,2017/11/30,09:44:05,1.882759E+01,1750,135,-23,2907,1750
45,2017/11/30,09:44:05,1.882759E+01,1876,293,-19,2904,1876
46,2017/11/30,09:44:05,1.882759E+01,1973,415,-9,2890,1973
47,2017/11/30,09:44:05,1.882759E+01,2065,516,2,2871,2065
48,2017/11/30,09:44:05,1.882759E+01,2142,602,10,2857,2142
49,2017/11/30,09:44:05,1.882759E+01,2211,682,15,2841,2211
50,2017/11/30,09:44:05,1.882759E+01,2310,774,22,2826,2310
51,2017/11/30,09:44:05,1.882759E+01,2386,930,32,2812,2386
52,2017/11/30,09:44:05,1.882759E+01,2442,1081,33,2812,2442
53,2017/11/30,09:44:05,1.882759E+01,2460,1239,27,2820,2460
54,2017/11/30,09:44:05,1.882759E+01,2465,1387,16,2830,2465
55,2017/11/30,09:44:05,1.882759E+01,2482,1520,12,2839,2482
56,2017/11/30,09:44:05,1.882759E+01,2516,1647,21,2844,2516
57,2017/11/30,09:44:05,1.882759E+01,2549,1810,41,2851,2549
58,2017/11/30,09:44:05,1.882759E+01,2579,1953,53,2858,2579
59,2017/11/30,09:44:05,1.882759E+01,2614,2091,62,2866,2614
60,2017/11/30,09:44:05,1.882759E+01,2639,2201,71,2868,2639
61,2017/11/30,09:44:05,1.882759E+01,2642,2269,89,2862,2642
62,2017/11/30,09:44:05,1.882759E+01,2627,2303,116,2852,2627
